Reference,Value,Footprint,Qty,Link
"C1, C11",10pF,Capacitor_SMD:C_0805_2012Metric,10,https://in.element14.com/yageo/cc0805jrnpo9bn100/cap-10pf-50v-mlcc-0805/dp/3369276
"C2-C8, C12, C14, C16",100n,Capacitor_SMD:C_0805_2012Metric,10,https://in.element14.com/kemet/c0805c104z5uactu/cap-0-1-f-50v-z5u-0805/dp/2905203
"C9, C15",4.7u,Capacitor_SMD:C_0805_2012Metric,5,https://in.element14.com/yageo/cc0805kkx5r5bb475/cap-4-7uf-6-3v-mlcc-0805/dp/3369288
C13,1u,Capacitor_SMD:C_0805_2012Metric,1,https://in.element14.com/yageo/cc0805zry5v7bb105/cap-1uf-16v-mlcc-0805/dp/3369340
DS1,LED,LED_SMD:LED_0805_2012Metric,10,https://in.element14.com/multicomp-pro/mp008293/led-red-220mcd-626nm-0805/dp/3796325?st=led%200805
DS2,LED_IMU,LED_SMD:LED_0805_2012Metric,1,
J1,Conn_02x10_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical,1,
J2,Conn_01x03,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,1,
Q1,PZT2222A,Package_TO_SOT_SMD:SOT-223-3_TabPin2,1,https://in.element14.com/on-semiconductor/spzt2222at1g/trans-npn-40v-0-6a-150deg-c-1/dp/3368670?st=pzt2222a
"R1, R18",56,Resistor_SMD:R_0805_2012Metric,10,https://in.element14.com/walsin/wr08x56r0ftl/res-56r-1-150v-0805-thick-film/dp/2502741
R2,383,Resistor_SMD:R_0805_2012Metric,10,https://in.element14.com/yageo/rc0805fr-07383rl/res-383r-1-0-125w-thick-film-0805/dp/4013366
R3,200k,Resistor_SMD:R_0805_2012Metric,1,https://in.element14.com/vishay/crcw0805196kfkea/res-thick-film-196k-1-0-125w-0805/dp/1246887
"R4, R6, R8-R16, R19",22,Resistor_SMD:R_0805_2012Metric,12,https://in.element14.com/koa/rk73h2attd22r0f/res-22r-1-0-25w-0805/dp/3548823
"R5, R7",2.5k,Resistor_SMD:R_0805_2012Metric,2,https://in.element14.com/koa/rk73h2attd2491f/res-2k49-1-0-25w-0805/dp/3540417
R17,10k,Resistor_SMD:R_0805_2012Metric,1,https://in.element14.com/panasonic/erju6rd1002v/res-10k-0-5-0-125w-0805/dp/3597703
R20,10k,Resistor_SMD:R_0805_2012Metric,1,https://in.element14.com/panasonic/erju6rd1002v/res-10k-0-5-0-125w-0805/dp/3597703
SW1,SW_Push,Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK,1,https://in.element14.com/alps-alpine/skrkaee020/tactile-switch-0-05a-12vdc-smd/dp/3261821?st=skrk%20alps
U1,Micro_SD_Card,Connector_Card:microSD_HC_Molex_104031-0811,1,https://in.element14.com/molex/104031-0811/connector-micro-sd-8pos/dp/2779938?st=molex%20104031-0811
X1,27MHz,Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm,1,https://in.element14.com/abracon/abm8g-27-000mhz-18-d2y-t/crystal-27mhz-18pf-3-2-x-2-5mm/dp/2467851RL
