"Reference","Value","Footprint","Datasheet","Qty"
"C1, C11","10pF","Capacitor_SMD:C_0805_2012Metric","C237160","2"
"C2-C8, C12, C14, C16","100n","Capacitor_SMD:C_0805_2012Metric","-- mixed values --","10"
"C9, C15","4.7u","Capacitor_SMD:C_0805_2012Metric","-- mixed values --","2"
"C13","1u","Capacitor_SMD:C_0805_2012Metric","C14663","1"
"DS1","LED","LED_SMD:LED_0805_2012Metric","C2296","1"
"DS2","LED_IMU","LED_SMD:LED_0805_2012Metric","C2297","1"
"J1","Conn_02x10_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","~","1"
"J2","Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","1"
"Q1","PZT2222A","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.onsemi.com/pub/Collateral/PN2222-D.PDF","1"
"R1, R18","56","Resistor_SMD:R_0805_2012Metric","-- mixed values --","2"
"R2","383","Resistor_SMD:R_0805_2012Metric","C12976","1"
"R3","200k","Resistor_SMD:R_0805_2012Metric","C21267","1"
"R4, R6, R8-R16, R19","22","Resistor_SMD:R_0805_2012Metric","~","12"
"R5, R7","2.5k","Resistor_SMD:R_0805_2012Metric","~","2"
"R17, R20","10k","Resistor_SMD:R_0805_2012Metric","-- mixed values --","2"
"SW1","SW_Push","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","~","1"
"TP1","TestPoint_Probe","TestPoint:TestPoint_Pad_2.0x2.0mm","~","1"
"U1","Micro_SD_Card","Connector_Card:microSD_HC_Molex_104031-0811","C428492","1"
"U2","STM32F411CEUx","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","https://www.st.com/resource/en/datasheet/stm32f411ce.pdf","1"
"U3","~","FC_Stack_template:FC_Stack_template","","1"
"X1","27MHz","Crystal:Crystal_SMD_Abracon_ABM8G-4Pin_3.2x2.5mm","~","1"
